industry_url,job_title_url,job_title,wage,wage_base,experience_level,percentage_change,salaries,salary_values,respondents,job_rating,job_rating_round,genders,gender_values,gender_respondents
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Tax_Attorney/Salary,Average Tax Attorney Salary,"$108,625",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼14%', '▼8%', '▲13%', '▲31%', '▲38%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$65k - $195k', '$3k - $48k', '$3k - $50k', '$69k - $219k']",Based on 157 salary profiles (last updated Nov 02 2023),3.3 out of 5,(11),"['Male', 'Female']","['61.4%', '38.6%']",This data is based on 44 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Family_Law_Attorney/Salary,Average Family Law Attorney Salary,"$76,764",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼23%', '▼2%', '▲18%', '▲18%', '▲24%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$54k - $117k', '$203 - $19k', '$503 - $30k', '$56k - $132k']",Based on 151 salary profiles (last updated Oct 24 2023),2.9 out of 5,(10),"['Female', 'Male', 'Prefer to self-define']","['72.9%', '25.0%', '2.1%']",This data is based on 48 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Litigation_Support_Specialist/Salary,Average Litigation Support Specialist Salary,"$68,886",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼40%', '▼8%', '▲2%', '▲4%', '▲1%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$48k - $96k', '$715 - $10k', '$3k - $7k', '$40k - $99k']",Based on 159 salary profiles (last updated Oct 03 2023),3.8 out of 5,(23),"['Female', 'Male']","['72.7%', '27.3%']",This data is based on 55 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Paralegal_Supervisor/Salary,Average Paralegal Supervisor Salary,"$74,683",/ year,"['Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼18%', '▼9%', '▲4%', '▲9%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$50k - $104k', '$593 - $12k', '$3k - $13k', '$48k - $104k']",Based on 132 salary profiles (last updated Oct 31 2023),3.6 out of 5,(24),"['Female', 'Male', 'Prefer to self-define']","['90.0%', '8.3%', '1.7%']",This data is based on 60 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Intellectual_Property_(IP)_Specialist/Salary,Average Intellectual Property (IP) Specialist Salary,"$72,462",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼39%', '▼18%', '▼3%', '▲7%', '▲28%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$50k - $103k', '$450 - $7k', '$267 - $5k', '$51k - $107k']",Based on 141 salary profiles (last updated Oct 12 2023),3.7 out of 5,(20),"['Female', 'Male']","['82.1%', '17.9%']",This data is based on 56 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Public_Defender/Salary,Average Public Defender Salary,"$60,574",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼16%', '▼9%', '▲16%', '▲6%', '▼5%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$41k - $96k', '$51 - $10k', '$141 - $5k', '$41k - $104k']",Based on 158 salary profiles (last updated Jun 28 2023),,(4),"['Male', 'Female']","['54.5%', '45.5%']",This data is based on 22 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Title_Officer/Salary,Average Title Officer Salary,"$60,339",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼32%', '▼20%', '▲2%', '▲9%', '▲13%']","['Base Salary', 'Bonus', 'Commission', 'Total Pay']","['$40k - $88k', '$1k - $12k', '$0 - $7k', '$40k - $88k']",Based on 147 salary profiles (last updated Nov 16 2023),4.2 out of 5,(21),"['Female', 'Male', 'Prefer to self-define']","['74.5%', '23.6%', '1.8%']",This data is based on 55 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Abstractor/Hourly_Rate,Average Abstractor Hourly Pay,$19.55,/ hour,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼7%', '▼6%', '▼6%', '▲4%', '▲3%']","['Hourly Rate', 'Bonus', 'Total Pay']","['$13 - $32', '$109 - $8k', '$27k - $70k']",Based on 146 salary profiles (last updated Sep 23 2023),4 out of 5,(13),"['Female', 'Male', 'Prefer to self-define']","['90.9%', '7.3%', '1.8%']",This data is based on 55 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Immigration_Consultant/Salary,Average Immigration Consultant Salary,"$72,596",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼29%', '▼12%', '▼2%', '▲42%', '▼6%']","['Base Salary', 'Bonus', 'Total Pay']","['$49k - $115k', '$1k - $15k', '$49k - $117k']",Based on 137 salary profiles (last updated Sep 26 2023),3.5 out of 5,(11),"['Female', 'Male']","['97.4%', '2.6%']",This data is based on 38 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Real_Estate_Attorney/Salary,Average Real Estate Attorney Salary,"$96,998",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼28%', '▼16%', '▲2%', '▲12%', '▲29%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$55k - $150k', '$1k - $26k', '$2k - $71k', '$0 - $208k', '$54k - $169k']",Based on 136 salary profiles (last updated Sep 22 2023),3.9 out of 5,(7),"['Female', 'Male', 'Prefer to self-define']","['51.1%', '44.4%', '4.4%']",This data is based on 45 survey responses. Learn more about the gender pay gap.
