name,displayName,url,profileCount,range,isEstimated
J.P. Morgan Chase & Co. (JPMCC),,/research/US/Job=Analytics_Manager/Salary/a380361a/J.P.-Morgan-Chase-%26-Co.-JPMCC,10,{'50': 109373.52},
"Mars, Inc.",,/research/US/Job=Analytics_Manager/Salary/f892523e/Mars-Inc.,9,{'50': 105000},
Medstar Health,,/research/US/Job=Analytics_Manager/Salary/f117023f/Medstar-Health,9,{'50': 97435.9},
"Charter Communications, Inc.",,/research/US/Job=Analytics_Manager/Salary/4f1477fc/Charter-Communications-Inc.,9,{'50': 85819.91},
Accenture,,/research/US/Job=Analytics_Manager/Salary/a5018e33/Accenture,9,{'50': 116516.9},
Deloitte,,/research/US/Job=Analytics_Manager/Salary/9b2cac5d/Deloitte,8,{'50': 123500},
Avalara,,/research/US/Job=Analytics_Manager/Salary/bfcd523f/Avalara,8,{'50': 100000},
"Expedia, Inc.",,/research/US/Job=Analytics_Manager/Salary/b9b417c1/Expedia-Inc.,8,{'50': 110446.48},
Synchrony Financial,,/research/US/Job=Analytics_Manager/Salary/bc6993e6/Synchrony-Financial,8,{'50': 82000},
"Nike, Inc.",,/research/US/Job=Analytics_Manager/Salary/d4c4a24d/Nike-Inc.,7,{'50': 113991.23},
"Pinnacle Entertainment, Inc.",,/research/US/Job=Analytics_Manager/Salary/b4f2c0ab/Pinnacle-Entertainment-Inc.,7,{'50': 84000},
CVS Caremark Corporation,,/research/US/Job=Analytics_Manager/Salary/e6afb454/CVS-Caremark-Corporation,7,{'50': 89713.65},
"22Squared, Inc.",,/research/US/Job=Analytics_Manager/Salary/9bdfd736/22Squared-Inc.,7,{'50': 92500},
Amerihealth Caritas,,/research/US/Job=Analytics_Manager/Salary/1e53a9e0/Amerihealth-Caritas,6,{'50': 100000},
Ally Financial Inc.,,/research/US/Job=Analytics_Manager/Salary/ddb68e90/Ally-Financial-Inc.,6,{'50': 106823.31},
eBay Inc.,,/research/US/Job=Analytics_Manager/Salary/7d52eb78/eBay-Inc.,6,{'50': 122500},
"Cardinal Health, Inc.",,/research/US/Job=Analytics_Manager/Salary/ad0a8c95/Cardinal-Health-Inc.,6,{'50': 105000},
Publicis,,/research/US/Job=Analytics_Manager/Salary/bee524d7/Publicis,6,{'50': 103647.41},
Sears Holdings Corporation,,/research/US/Job=Analytics_Manager/Salary/2950f64c/Sears-Holdings-Corporation,6,{'50': 82722.96},
Starcom Worldwide,,/research/US/Job=Analytics_Manager/Salary/645edc99/Starcom-Worldwide,6,{'50': 82330.1},
"Nordstrom, Inc.",,/research/US/Job=Analytics_Manager/Salary/f105f514/Nordstrom-Inc.,6,{'50': 128217.29},
ICF International,,/research/US/Job=Analytics_Manager/Salary/94995456/ICF-International,6,{'50': 98307.22},
"Merkle, Inc.",,/research/US/Job=Analytics_Manager/Salary/d431bad0/Merkle-Inc.,6,{'50': 119219.39},
Wells Fargo & Co.,,/research/US/Job=Analytics_Manager/Salary/2f15de47/Wells-Fargo-%26-Co.,6,{'50': 125556.29},
West Coast University,,/research/US/Job=Analytics_Manager/Salary/5a97bc5a/West-Coast-University,6,{'50': 63000},
The Home Depot Inc.,,/research/US/Job=Analytics_Manager/Salary/6c937709/The-Home-Depot-Inc.,5,{'50': 87196.94},
"T-Mobile, Inc.",,/research/US/Job=Analytics_Manager/Salary/cbed8845/T-Mobile-Inc.,5,{'50': 103000},
Walgreen Co.,,/research/US/Job=Analytics_Manager/Salary/3b8a703a/Walgreen-Co.,5,{'50': 92989.25},
Morgan Stanley,,/research/US/Job=Analytics_Manager/Salary/3ccc3b2f/Morgan-Stanley,5,{'50': 90000},
MRM Worldwide,,/research/US/Job=Analytics_Manager/Salary/45f81364/MRM-Worldwide,5,{'50': 89100},
Nespresso,,/research/US/Job=Analytics_Manager/Salary/4082ddb2/Nespresso,5,{'50': 112375},
General Electric Co (GE),,/research/US/Job=Analytics_Manager/Salary/fad2927c/General-Electric-Co-GE,5,{'50': 100795.42},
CBRE Group,,/research/US/Job=Analytics_Manager/Salary/b5874399/CBRE-Group,5,{'50': 111000},
American Airlines,,/research/US/Job=Analytics_Manager/Salary/ae8c3a3e/American-Airlines,5,{'50': 100600},
"Acosta Sales & Marketing Company, Inc.",,/research/US/Job=Analytics_Manager/Salary/24faa6a1/Acosta-Sales-%26-Marketing-Company-Inc.,5,{'50': 94000},
"ADT Security Services, Inc.",,/research/US/Job=Analytics_Manager/Salary/c7ce46d5/ADT-Security-Services-Inc.,5,{'50': 120000},
"Aetna, Inc.",,/research/US/Job=Analytics_Manager/Salary/74c9b006/Aetna-Inc.,5,{'50': 108000},
Allen & Gerritsen,,/research/US/Job=Analytics_Manager/Salary/606d998a/Allen-%26-Gerritsen,5,{'50': 91107.41},
Bottle Rocket Apps,,/research/US/Job=Android_Software_Developer/Salary/283d8c99/Bottle-Rocket-Apps,13,{'50': 71898.51},
Amazon.com Inc,,/research/US/Job=Android_Software_Developer/Salary/eeae6ad5/Amazon.com-Inc,6,{'50': 127500},
Metova,,/research/US/Job=Android_Software_Developer/Salary/001b289c/Metova,6,{'50': 55621.7},
Tata Consultancy Services Limited,,/research/US/Job=Android_Software_Developer/Salary/6b229408/Tata-Consultancy-Services-Limited,5,{'50': 75250},
WillowTree Apps,,/research/US/Job=Android_Software_Developer/Salary/37f8ee80/WillowTree-Apps,5,{'50': 89333.92},
Yelp! Inc.,,/research/US/Job=Android_Software_Developer/Salary/12beeb45/Yelp!-Inc.,5,{'50': 118097.37},
Facebook Inc,,/research/US/Job=Android_Software_Developer/Salary/9ec64233/Facebook-Inc,5,{'50': 100000},
"Realpage, Inc.",,/research/US/Job=Application_Architect/Salary/4bc264b1/Realpage-Inc.,6,{'50': 112444.44},
IBM Global Services,,/research/US/Job=Application_Architect/Salary/dbce4820/IBM-Global-Services,5,{'50': 105680.62},
International Business Machines (IBM) Corp.,,/research/US/Job=Application_Architect/Salary/e0681c48/International-Business-Machines-IBM-Corp.,4,{'50': 98800},
J.P. Morgan Chase & Co. (JPMCC),,/research/US/Job=Application_Developer/Salary/2aa1f7d9/J.P.-Morgan-Chase-%26-Co.-JPMCC,39,{'50': 88575.04},
AT&T Inc.,,/research/US/Job=Application_Developer/Salary/9df2c9af/AT%26T-Inc.,23,{'50': 69502.9},
Accenture,,/research/US/Job=Application_Developer/Salary/5a67451d/Accenture,18,{'50': 72876.82},
Bank of America Corp. (BOFA),,/research/US/Job=Application_Developer/Salary/75c3e316/Bank-of-America-Corp.-BOFA,15,{'50': 98000},
Intel Corporation,,/research/US/Job=Application_Developer/Salary/898c2bcf/Intel-Corporation,15,{'50': 78000},
PennyMac,,/research/US/Job=Application_Developer/Salary/90ca8a7a/PennyMac,13,{'50': 76604.35},
"Automatic Data Processing, Inc. (ADP)",,/research/US/Job=Application_Developer/Salary/bb9cf928/Automatic-Data-Processing-Inc.-ADP,13,{'50': 79384.02},
Sprint Nextel Corporation,,/research/US/Job=Application_Developer/Salary/f3ea56a8/Sprint-Nextel-Corporation,13,{'50': 78540},
Principal Financial Group,,/research/US/Job=Application_Developer/Salary/ea05e853/Principal-Financial-Group,13,{'50': 69242.38},
CGI Group Inc.,,/research/US/Job=Application_Developer/Salary/4c297b4e/CGI-Group-Inc.,12,{'50': 54610.4},
International Business Machines (IBM) Corp.,,/research/US/Job=Application_Developer/Salary/2737311e/International-Business-Machines-IBM-Corp.,12,{'50': 64862.5},
"Maverik, Inc.",,/research/US/Job=Application_Developer/Salary/b6189abb/Maverik-Inc.,11,{'50': 55508.22},
