name,displayName,url,profileCount,range,isEstimated
Less than 1 year,,/research/US/Job=Security_Architect%2C_IT/Salary/9837867d/Entry-Level,6,{'50': 78612.33},
1-4 years,,/research/US/Job=Security_Architect%2C_IT/Salary/9837867d/Early-Career,69,{'50': 100042.98},
5-9 years,,/research/US/Job=Security_Architect%2C_IT/Salary/add41af8/Mid-Career,165,{'50': 127160.14},
10-19 years,,/research/US/Job=Security_Architect%2C_IT/Salary/85b45d4c/Experienced,320,{'50': 145183.33},
20 years or more,,/research/US/Job=Security_Architect%2C_IT/Salary/704b94fe/Late-Career,192,{'50': 150443.03},
Less than 1 year,,/research/US/Job=Security_Consultant%2C_(Computing_%2F_Networking_%2F_Information_Technology)/Salary/b5b3ce5c/Entry-Level,36,{'50': 74310.02},
1-4 years,,/research/US/Job=Security_Consultant%2C_(Computing_%2F_Networking_%2F_Information_Technology)/Salary/b5b3ce5c/Early-Career,269,{'50': 88809.41},
5-9 years,,/research/US/Job=Security_Consultant%2C_(Computing_%2F_Networking_%2F_Information_Technology)/Salary/102ff21f/Mid-Career,128,{'50': 106549.68},
10-19 years,,/research/US/Job=Security_Consultant%2C_(Computing_%2F_Networking_%2F_Information_Technology)/Salary/8bcea074/Experienced,106,{'50': 128077.11},
20 years or more,,/research/US/Job=Security_Consultant%2C_(Computing_%2F_Networking_%2F_Information_Technology)/Salary/79a92eac/Late-Career,45,{'50': 139558.97},
Less than 1 year,,/research/US/Job=Security_Consultant%2C_IT/Salary/85b509f4/Entry-Level,9,{'50': 68314.04},
1-4 years,,/research/US/Job=Security_Consultant%2C_IT/Salary/85b509f4/Early-Career,54,{'50': 81334.43},
5-9 years,,/research/US/Job=Security_Consultant%2C_IT/Salary/3d7189b5/Mid-Career,20,{'50': 91836.1},
10-19 years,,/research/US/Job=Security_Consultant%2C_IT/Salary/0748d3a2/Experienced,20,{'50': 113586.54},
20 years or more,,/research/US/Job=Security_Consultant%2C_IT/Salary/0a25c384/Late-Career,12,{'50': 119946.35},
1-4 years,,/research/US/Job=Security_Director%2C_Computing_%2F_Networking_%2F_Information_Technology/Salary/b231b387/Early-Career,5,{'50': 88982.67},
5-9 years,,/research/US/Job=Security_Director%2C_Computing_%2F_Networking_%2F_Information_Technology/Salary/4f670a16/Mid-Career,9,{'50': 125000},
10-19 years,,/research/US/Job=Security_Director%2C_Computing_%2F_Networking_%2F_Information_Technology/Salary/485372f0/Experienced,23,{'50': 159437},
20 years or more,,/research/US/Job=Security_Director%2C_Computing_%2F_Networking_%2F_Information_Technology/Salary/87e4061c/Late-Career,11,{'50': 160825.66},
Less than 1 year,,/research/US/Job=Security_Engineer/Salary/33343fae/Entry-Level,116,{'50': 76332.21},
1-4 years,,/research/US/Job=Security_Engineer/Salary/33343fae/Early-Career,1253,{'50': 92046.54},
5-9 years,,/research/US/Job=Security_Engineer/Salary/acc31fdc/Mid-Career,809,{'50': 108349.93},
10-19 years,,/research/US/Job=Security_Engineer/Salary/6ee125fd/Experienced,435,{'50': 123446.91},
20 years or more,,/research/US/Job=Security_Engineer/Salary/05d3819e/Late-Career,152,{'50': 125939.04},
Less than 1 year,,/research/US/Job=Security_Engineer%2C_Information_Systems/Salary/b3168d5f/Entry-Level,14,{'50': 73039.74},
1-4 years,,/research/US/Job=Security_Engineer%2C_Information_Systems/Salary/b3168d5f/Early-Career,47,{'50': 79261.15},
5-9 years,,/research/US/Job=Security_Engineer%2C_Information_Systems/Salary/dc61b6f5/Mid-Career,49,{'50': 108657.95},
10-19 years,,/research/US/Job=Security_Engineer%2C_Information_Systems/Salary/eba443a6/Experienced,55,{'50': 122441.92},
20 years or more,,/research/US/Job=Security_Engineer%2C_Information_Systems/Salary/2be6eafc/Late-Career,25,{'50': 127263.17},
1-4 years,,/research/US/Job=Senior_Actuarial_Associate/Salary/df597d74/Early-Career,12,{'50': 93569.07},
5-9 years,,/research/US/Job=Senior_Actuarial_Associate/Salary/f1a24014/Mid-Career,16,{'50': 102672.37},
10-19 years,,/research/US/Job=Senior_Actuarial_Associate/Salary/9be99999/Experienced,5,{'50': 109000},
5-9 years,,/research/US/Job=Senior_Actuary/Salary/0aba1423/Mid-Career,14,{'50': 108750},
10-19 years,,/research/US/Job=Senior_Actuary/Salary/fbd11e21/Experienced,9,{'50': 126037.46},
20 years or more,,/research/US/Job=Senior_Actuary/Salary/719727d0/Late-Career,11,{'50': 151239.67},
1-4 years,,/research/US/Job=Senior_Application_Developer/Salary/e1299796/Early-Career,60,{'50': 89339.2},
5-9 years,,/research/US/Job=Senior_Application_Developer/Salary/5ecf79dc/Mid-Career,182,{'50': 101128.57},
10-19 years,,/research/US/Job=Senior_Application_Developer/Salary/b4744135/Experienced,280,{'50': 108921.37},
20 years or more,,/research/US/Job=Senior_Application_Developer/Salary/b2577a8d/Late-Career,159,{'50': 103663.9},
1-4 years,,/research/US/Job=Senior_Applications_Engineer/Salary/2bcba479/Early-Career,83,{'50': 96166.59},
5-9 years,,/research/US/Job=Senior_Applications_Engineer/Salary/756911fe/Mid-Career,177,{'50': 98842.69},
10-19 years,,/research/US/Job=Senior_Applications_Engineer/Salary/7af8a95d/Experienced,107,{'50': 106146.25},
20 years or more,,/research/US/Job=Senior_Applications_Engineer/Salary/eb2de6af/Late-Career,55,{'50': 112336.43},
1-4 years,,/research/US/Job=Senior_Associate_Data_Scientist/Salary/03b7ce89/Early-Career,6,{'50': 97435.9},
5-9 years,,/research/US/Job=Senior_Associate_Data_Scientist/Salary/8de2971d/Mid-Career,5,{'50': 100000},
Less than 1 year,,/research/US/Job=Senior_Biostatistician/Salary/5f483479/Entry-Level,5,{'50': 111027.22},
1-4 years,,/research/US/Job=Senior_Biostatistician/Salary/5f483479/Early-Career,75,{'50': 116185.1},
5-9 years,,/research/US/Job=Senior_Biostatistician/Salary/9d48e4a0/Mid-Career,95,{'50': 119234.02},
10-19 years,,/research/US/Job=Senior_Biostatistician/Salary/575a6833/Experienced,59,{'50': 125475.69},
20 years or more,,/research/US/Job=Senior_Biostatistician/Salary/8a8957e5/Late-Career,6,{'50': 121000},
Less than 1 year,,/research/US/Job=Senior_Business_Intelligence_(BI)_Analyst/Salary/17d928cb/Entry-Level,6,{'50': 76246.13},
1-4 years,,/research/US/Job=Senior_Business_Intelligence_(BI)_Analyst/Salary/17d928cb/Early-Career,381,{'50': 88801.47},
5-9 years,,/research/US/Job=Senior_Business_Intelligence_(BI)_Analyst/Salary/9482088b/Mid-Career,549,{'50': 99049.67},
10-19 years,,/research/US/Job=Senior_Business_Intelligence_(BI)_Analyst/Salary/6b4cc266/Experienced,231,{'50': 106673.04},
20 years or more,,/research/US/Job=Senior_Business_Intelligence_(BI)_Analyst/Salary/ae37ac57/Late-Career,55,{'50': 108481.34},
1-4 years,,/research/US/Job=Senior_Business_Systems_Analyst/Salary/a36a2a41/Early-Career,170,{'50': 88540.12},
5-9 years,,/research/US/Job=Senior_Business_Systems_Analyst/Salary/0eb4acaa/Mid-Career,464,{'50': 96798.87},
10-19 years,,/research/US/Job=Senior_Business_Systems_Analyst/Salary/fe896341/Experienced,484,{'50': 105370.04},
20 years or more,,/research/US/Job=Senior_Business_Systems_Analyst/Salary/e3b649b7/Late-Career,218,{'50': 109396.97},
1-4 years,,/research/US/Job=Senior_Clinical_Data_Analyst/Salary/b0132230/Early-Career,15,{'50': 78711.45},
5-9 years,,/research/US/Job=Senior_Clinical_Data_Analyst/Salary/d74011c7/Mid-Career,26,{'50': 87446.21},
10-19 years,,/research/US/Job=Senior_Clinical_Data_Analyst/Salary/971cdd68/Experienced,9,{'50': 83895.74},
20 years or more,,/research/US/Job=Senior_Clinical_Data_Analyst/Salary/f51f8796/Late-Career,6,{'50': 106309.86},
1-4 years,,/research/US/Job=Senior_Clinical_Data_Associate/Salary/f99b6927/Early-Career,5,{'50': 47816.15},
5-9 years,,/research/US/Job=Senior_Clinical_Data_Associate/Salary/4c82cab9/Mid-Career,10,{'50': 91562.83},
1-4 years,,/research/US/Job=Senior_Clinical_Data_Coordinator/Salary/db8a11d0/Early-Career,5,{'50': 62560},
1-4 years,,/research/US/Job=Senior_Clinical_Data_Manager/Salary/4e09e0fb/Early-Career,14,{'50': 91645.21},
5-9 years,,/research/US/Job=Senior_Clinical_Data_Manager/Salary/09c87e29/Mid-Career,50,{'50': 104833.4},
10-19 years,,/research/US/Job=Senior_Clinical_Data_Manager/Salary/7a4502e1/Experienced,64,{'50': 110732.79},
20 years or more,,/research/US/Job=Senior_Clinical_Data_Manager/Salary/f168f205/Late-Career,14,{'50': 120913.24},
5-9 years,,/research/US/Job=Senior_Cloud_Software_Engineer/Salary/6c955f50/Mid-Career,5,{'50': 165626.99},
