level,experience,job_title,median_salary,profile_count
Junior Level,1-4 years,Information_Technology_(IT)_Director,87255.68,725
Mid Level,5-9 years,Information_Technology_(IT)_Director,102075.34,1692
Senior Level,10-19 years,Information_Technology_(IT)_Director,127632.63,5265
Executive Level,20 years or more,Information_Technology_(IT)_Director,136571.92,6371
Entry Level,Less than 1 year,,16.94,158
Junior Level,1-4 years,,16.9,199
Mid Level,5-9 years,,15.0,16
Entry Level,Less than 1 year,Information_Technology_(IT)_Lead,67407.41,5
Junior Level,1-4 years,Information_Technology_(IT)_Lead,77068.71,99
Mid Level,5-9 years,Information_Technology_(IT)_Lead,92688.98,151
Senior Level,10-19 years,Information_Technology_(IT)_Lead,104320.29,185
Executive Level,20 years or more,Information_Technology_(IT)_Lead,107578.37,64
Entry Level,Less than 1 year,Information_Technology_(IT)_Manager,69530.21,112
Junior Level,1-4 years,Information_Technology_(IT)_Manager,74072.07,1933
