name,job_title,median_salary,profile_count
Mutual of Omaha,Application_Developer,72588.54,8
Primerica Financial Services,Application_Developer,45199.06,7
"HDR, Inc.",Application_Developer,70000.0,7
CGI Federal,Application_Developer,56593.9,7
Solidifi,Application_Developer,70103.29,7
The Bank of New York Mellon Corporation (BNY Mellon),Application_Developer,79479.59,7
"General Mills, Inc.",Application_Developer,67959.7,7
University of Michigan (U-M),Application_Developer,65000.0,7
JE Dunn Construction Company,Application_Developer,61390.66,7
"Vencore, Inc.",Application_Developer,65000.0,7
Computer Sciences Corporation (CSC),Application_Developer,77000.0,6
"Comcast Cable, Inc.",Application_Developer,55288.09,6
University of Pennsylvania,Application_Developer,63125.0,6
"The Hartford Financial Services Group, Inc.",Application_Developer,60004.0,6
The Lincoln Financial Group,Application_Developer,55000.0,6
Amazon.com Inc,Application_Developer,108000.0,6
"Denim Group,",Application_Developer,66500.0,6
JPMorgan Chase & Co.,Application_Developer,101349.47,6
Ingram Micro Inc,Application_Developer,62891.02,6
Discovery Benefits,Application_Developer,57500.0,6
Equifax Inc,Application_Developer,110000.0,5
Greenheck Fan Corporation,Application_Developer,51665.13,5
Marketaxess Ltd,Application_Developer,91562.83,5
Farmers Insurance Group,Application_Developer,109874.8,5
Fiserv Inc,Application_Developer,75000.0,5
Health Care Service Corporation,Application_Developer,72562.36,5
American Family Life Assurance Company of Columbus (AFLAC),Application_Developer,61674.96,5
Argo Data Corporation,Application_Developer,67407.41,5
Black Knight Financial Services,Application_Developer,66565.53,5
Blue Cross and Blue Shield of Michigan,Application_Developer,70593.91,5
"Booz, Allen, and Hamilton",Application_Developer,115000.0,5
Caresource Inc,Application_Developer,90000.0,5
Colorado State Employees Credit Union,Application_Developer,62900.0,5
Chase Bank,Application_Developer,85918.91,5
The ADP Group,Application_Developer,75000.0,5
"United Parcel Service (UPS), Inc.",Application_Developer,67008.34,5
University of Denver,Application_Developer,78845.77,5
Sabra Dipping Company,Application_Developer,74516.33,5
"Qvc, Inc.",Application_Developer,61041.89,5
Progressive Casualty Insurance Company,Application_Developer,68589.9,5
The Gallup Organization,Application_Developer,74665.7,5
Valley Health Systems,Application_Developer,112444.44,5
Massachusetts Institute of Technology (MIT),Application_Developer,69614.16,5
Florida Association of Realtors,Application_Developer,56500.0,5
Flexitallic,Application_Developer,87312.1,5
"Workday, Inc.",Application_Developer,101737.99,5
"Vmware, Inc.",,,5
Vanderbilt Medical Center,Application_Developer,73206.28,5
USF Holland Inc,Application_Developer,63601.38,5
International Paper Co,Application_Developer,61033.07,5
Independent Health,Application_Developer,75394.51,5
State Street Corporation,Application_Developer,91299.44,4
Georgia Institute of Technology,Application_Developer,50565.18,4
"HCA, Inc.",Application_Developer,65500.0,4
"Aetna, Inc.",Application_Developer,69000.0,3
Trinet,Application_Support_Analyst,63168.85,12
J.P. Morgan Chase & Co. (JPMCC),Application_Support_Analyst,80000.0,11
BlackLine Systems,,,10
Accenture,Application_Support_Analyst,50187.25,9
Cognizant,Application_Support_Analyst,68582.98,8
"Alex Lee, Inc.",Application_Support_Analyst,43000.0,7
Elliot Hospital,Application_Support_Analyst,71868.74,7
"WesBanco Bank, Inc.",,48494.85,7
Thomson Reuters,Application_Support_Analyst,37700.0,6
"Netsmart Technologies, Inc.",Application_Support_Analyst,60377.31,6
Indiana University (IU) Health,Application_Support_Analyst,70500.0,5
Jack Henry & Associates Inc (JKHY),Application_Support_Analyst,59816.29,5
JPMorgan Chase & Co.,Application_Support_Analyst,73625.0,5
