state,city,job_title,median_salary,profile_count
 Louisiana,Baton Rouge,Actuary,65464.28,12
 Colorado,Denver,Actuary,107440.98,12
 Connecticut,Hartford,Actuary,136518.44,11
 North Carolina,Charlotte,Actuary,102912.62,11
 Wisconsin,Madison,Actuary,78210.86,11
 Florida,Tampa,Actuary,80000.0,11
 District of Columbia,Washington,Actuary,94497.35,10
 Arizona,Phoenix,Actuary,111479.82,10
 Illinois,Bloomington,Actuary,72246.42,8
 Ohio,Cincinnati,Actuary,57493.26,8
 Nebraska,Omaha,Actuary,92435.0,8
 Virginia,Richmond,Actuary,78200.0,8
 Texas,Plano,Actuary,67190.7,8
 Texas,Houston,Actuary,90329.67,7
 Michigan,Detroit,Actuary,62500.0,7
 Florida,Miami,Actuary,74059.64,7
 Connecticut,Stamford,Actuary,84536.22,7
 California,San Jose,Actuary,80000.0,7
 Ohio,Cleveland,Actuary,93301.15,7
 Massachusetts,Springfield,Actuary,120000.0,7
 Massachusetts,Worcester,Actuary,97672.63,7
 Maryland,Baltimore,Actuary,95476.18,7
 Florida,Orlando,Actuary,116330.66,7
 Florida,Jacksonville,Actuary,109500.0,6
 Indiana,Carmel,Actuary,79200.0,6
 Iowa,West Des Moines,Actuary,78343.95,6
 Missouri,St Louis,Actuary,89000.0,6
 North Carolina,Raleigh,Actuary,131519.0,6
 Michigan,Lansing,Actuary,60000.0,6
 Pennsylvania,Harrisburg,Actuary,58250.0,6
 Maine,Portland,Actuary,54500.0,6
 Indiana,Fort Wayne,Actuary,105000.0,6
 Wisconsin,Milwaukee,Actuary,70623.0,5
 Texas,San Antonio,Actuary,67000.0,5
 Vermont,Montpelier,Actuary,123000.0,5
 Virginia,Arlington,Actuary,121224.16,5
 Utah,Salt Lake City,Actuary,85000.0,5
 Texas,Fort Worth,Actuary,60000.0,5
 Tennessee,Memphis,Actuary,84250.0,5
 Tennessee,Nashville,Actuary,90276.24,5
 Texas,Austin,Actuary,128380.88,5
 New Jersey,Newark,Actuary,118503.93,5
 New York,Buffalo,Actuary,80000.0,5
 New York,Rochester,Actuary,62000.0,5
 Missouri,St. Louis,Actuary,107500.0,5
 Iowa,Cedar Rapids,Actuary,103000.0,5
 Florida,Boca Raton,Actuary,80000.0,5
 California,Aliso Viejo,Actuary,108590.86,4
 Illinois,Northbrook,Actuary,101500.0,4
 New York,Syracuse,Actuary,44664.81,4
 New York,Albany,Actuary,63500.0,4
 Maryland,Chevy Chase,Actuary,59090.86,4
 Tennessee,Chattanooga,Actuary,130000.0,3
 Washington,Washington,Actuary,200000.0,3
 Texas,Irving,Actuary,119830.86,3
 Minnesota,Minnetonka,Actuary,110500.45,3
 Michigan,Grand Rapids,Actuary,69999.0,3
 Pennsylvania,Erie,Actuary,50000.0,3
 Pennsylvania,Lancaster,Actuary,30520.94,3
 Ohio,Akron,Actuary,89319.96,3
 Illinois,Schaumburg,Actuary,120000.0,3
 Kentucky,Lexington,Actuary,64139.0,3
 Arizona,Scottsdale,Actuary,76000.0,3
 Arkansas,Little Rock,Actuary,82000.0,3
 Florida,Florida,Actuary,150000.0,3
 Florida,Fort Lauderdale,Actuary,100000.0,3
 Delaware,Wilmington,Actuary,106990.65,2
 California,Sacramento,Actuary,76500.0,2
 California,Irvine,Actuary,92500.0,2
 California,Walnut Creek,Actuary,146100.0,2
 Colorado,Colorado Springs,Actuary,52500.0,2
 Kansas,Kansas City,Actuary,160000.0,2
 Kansas,Overland Park,Actuary,67137.55,2
 Illinois,Springfield,Actuary,135000.0,2
 Illinois,Naperville,Actuary,121893.0,2
 Hawaii,Honolulu,Actuary,65000.0,2
 Pennsylvania,Plymouth Meeting,Actuary,144827.59,2
 South Carolina,Greenville,Actuary,70000.0,2
 Texas,El Paso,Actuary,50000.0,2
 Ohio,Toledo,Actuary,62400.0,2
 Oklahoma,Oklahoma City,Actuary,89500.0,2
 Massachusetts,Wellesley,Actuary,73000.0,2
 Missouri,Springfield,Actuary,49494.95,2
 New Jersey,Jersey City,Actuary,103000.0,2
 New Jersey,Princeton,Actuary,99200.0,2
 North Carolina,Winston-Salem,Actuary,82007.5,2
 North Carolina,Greensboro,Actuary,93875.6,2
 Maryland,Rockville,Actuary,125000.0,2
 New York,New York,Alliance_Manager%2C_Enterprise_Software,101736.48,8
 California,San Francisco,Alliance_Manager%2C_Enterprise_Software,120000.0,5
 Massachusetts,Boston,Alliance_Manager%2C_Enterprise_Software,122641.26,5
 Washington,Seattle,Analyst_Methods_%26_Procedures,66466.17,3
 Florida,Miami,Analyst_Methods_%26_Procedures,57500.0,2
 Illinois,Springfield,Analyst_Methods_%26_Procedures,50300.0,2
 Missouri,Neosho,Analyst_Methods_%26_Procedures,46500.0,2
 New York,Montebello,Analyst_Methods_%26_Procedures,55000.0,2
 New York,New York,Analytical_Strategist,75000.0,9
 California,Los Angeles,Analytical_Strategist,92500.0,5
 California,San Francisco,Analytical_Strategist,99000.0,5
 Illinois,Chicago,Analytical_Strategist,74623.6,4
 Michigan,Dearborn,Analytical_Strategist,94500.0,4
 Minnesota,Minneapolis,Analytical_Strategist,65000.0,3
 Missouri,Springfield,Analytical_Strategist,50000.0,2
 Colorado,Denver,Analytical_Strategist,78850.0,2
 California,San Diego,Analytical_Strategist,73475.0,2
 Washington,Seattle,Analytical_Strategist,58000.0,2
 New York,New York,Analytics_Manager,110542.06,271
 Illinois,Chicago,Analytics_Manager,102854.01,104
 Georgia,Atlanta,Analytics_Manager,101030.43,103
 California,San Francisco,Analytics_Manager,131482.91,94
 Massachusetts,Boston,Analytics_Manager,117241.2,67
 California,Los Angeles,Analytics_Manager,113758.05,64
 Washington,Seattle,Analytics_Manager,118800.03,61
 Texas,Dallas,Analytics_Manager,108804.6,60
 Pennsylvania,Philadelphia,Analytics_Manager,101737.32,54
 Colorado,Denver,Analytics_Manager,98599.33,49
 Minnesota,Minneapolis,Analytics_Manager,101228.2,46
 Texas,Austin,Analytics_Manager,104185.07,44
 Oregon,Portland,Analytics_Manager,103571.14,42
 Ohio,Columbus,Analytics_Manager,90659.24,36
 California,San Diego,Analytics_Manager,99196.06,34
 Tennessee,Nashville,Analytics_Manager,102912.76,32
 Texas,Houston,Analytics_Manager,112715.65,32
 Pennsylvania,Pittsburgh,Analytics_Manager,95683.39,29
 District of Columbia,Washington,Analytics_Manager,118852.17,29
 Ohio,Cincinnati,Analytics_Manager,85643.57,28
 North Carolina,Raleigh,Analytics_Manager,92000.0,25
 Missouri,St. Louis,Analytics_Manager,89032.23,24
 Ohio,Cleveland,Analytics_Manager,102580.28,23
 North Carolina,Charlotte,Analytics_Manager,110962.49,23
 Florida,Miami,Analytics_Manager,109862.98,23
 Arizona,Phoenix,Analytics_Manager,95452.05,23
 Florida,Tampa,Analytics_Manager,101490.8,22
 Indiana,Indianapolis,Analytics_Manager,84120.13,21
 California,Irvine,Analytics_Manager,124860.32,21
 Louisiana,Lafayette,Analytics_Manager,71500.0,21
 Massachusetts,Cambridge,Analytics_Manager,98713.57,20
 Michigan,Detroit,Analytics_Manager,94539.07,20
 Florida,Orlando,Analytics_Manager,97883.45,20
 Wisconsin,Milwaukee,Analytics_Manager,96799.55,19
 Utah,Salt Lake City,Analytics_Manager,95000.0,18
 Florida,Fort Lauderdale,Analytics_Manager,95316.96,16
 Oklahoma,Tulsa,Analytics_Manager,71076.69,15
 Virginia,Arlington,Analytics_Manager,123300.0,14
 Florida,Jacksonville,Analytics_Manager,75000.0,13
 Connecticut,Stamford,Analytics_Manager,100252.05,12
 North Carolina,Greensboro,Analytics_Manager,117420.0,12
 New York,Rochester,Analytics_Manager,66000.0,12
 New York,Buffalo,Analytics_Manager,95000.0,12
 Nebraska,Lincoln,Analytics_Manager,71251.99,12
 Maryland,Baltimore,Analytics_Manager,96252.41,12
 Maryland,Rockville,Analytics_Manager,111516.85,11
 New Jersey,Parsippany,Analytics_Manager,124006.9,11
 Georgia,Alpharetta,Analytics_Manager,95000.0,11
 Illinois,Itasca,Analytics_Manager,109720.8,11
 Texas,San Antonio,Analytics_Manager,97000.0,11
 Hawaii,Honolulu,Analytics_Manager,94083.45,10
 Alabama,Birmingham,Analytics_Manager,107441.86,10
 Delaware,Wilmington,Analytics_Manager,100402.13,10
 Maryland,Bethesda,Analytics_Manager,80500.0,9
 Illinois,Hoffman Estates,Analytics_Manager,77419.35,9
 Tennessee,Franklin,Analytics_Manager,85000.0,9
 Texas,Plano,Analytics_Manager,87500.0,9
 Washington,Bellevue,Analytics_Manager,107209.13,8
 Wisconsin,La Crosse,Analytics_Manager,75662.91,8
 Georgia,Peachtree City,Analytics_Manager,86450.64,8
 Maryland,Columbia,Analytics_Manager,98263.52,8
 California,San Jose,Analytics_Manager,129060.38,8
 Indiana,Fort Wayne,Analytics_Manager,67500.0,8
 Kentucky,Lexington,Analytics_Manager,95310.31,8
 Maine,Portland,Analytics_Manager,92000.0,8
 Missouri,Kansas City,Analytics_Manager,99883.44,8
 New York,Albany,Analytics_Manager,76339.87,7
 New York,Purchase,Analytics_Manager,88988.53,7
 Ohio,Toledo,Analytics_Manager,104116.66,7
 Iowa,Des Moines,Analytics_Manager,82000.0,7
 Kansas,Overland Park,Analytics_Manager,107903.5,7
 Florida,Boca Raton,Analytics_Manager,85000.0,7
 Connecticut,Hartford,Analytics_Manager,110000.0,7
 California,Sacramento,Analytics_Manager,118000.0,7
 Arkansas,Bentonville,Analytics_Manager,129401.28,7
 California,El Segundo,Analytics_Manager,101736.48,7
 California,Palo Alto,Analytics_Manager,115000.0,6
 California,Pasadena,Analytics_Manager,104761.9,6
 California,Mountain View,Analytics_Manager,119927.59,6
 California,Santa Monica,Analytics_Manager,91000.0,6
 Florida,St. Petersburg,Analytics_Manager,77171.06,6
 Kansas,Wichita,Analytics_Manager,66000.0,6
 Colorado,Broomfield,Analytics_Manager,85500.0,6
 Idaho,Boise,Analytics_Manager,95000.0,6
 Ohio,Dayton,Analytics_Manager,91000.0,6
 New Jersey,Newark,Analytics_Manager,106644.43,6
 North Carolina,Durham,Analytics_Manager,107000.0,6
 Nevada,Las Vegas,Analytics_Manager,87971.58,6
 Michigan,Ann Arbor,Analytics_Manager,101000.0,6
 Washington,Kirkland,Analytics_Manager,125000.0,6
 Virginia,Richmond,Analytics_Manager,101496.53,6
 Tennessee,Knoxville,Analytics_Manager,76350.0,6
 Texas,Irving,Analytics_Manager,112666.88,6
 Texas,Tyler,Analytics_Manager,65500.0,5
 Texas,Fort Worth,Analytics_Manager,107395.43,5
 South Carolina,Greenville,Analytics_Manager,85477.58,5
 Virginia,Alexandria,Analytics_Manager,120000.0,5
 Washington,Redmond,Analytics_Manager,81804.88,5
 Virginia,Virginia Beach,Analytics_Manager,97938.5,5
 Wisconsin,Madison,Analytics_Manager,115945.63,5
 Kentucky,Louisville,Analytics_Manager,93065.24,5
 New Hampshire,Portsmouth,Analytics_Manager,55621.7,5
 New Jersey,Bridgewater,Analytics_Manager,98115.13,5
 Massachusetts,Waltham,Analytics_Manager,76000.0,5
 Minnesota,St. Paul,Analytics_Manager,112444.44,5
 Michigan,Grand Rapids,Analytics_Manager,77524.26,5
 Michigan,Lansing,Analytics_Manager,83300.0,5
 New York,Syracuse,Analytics_Manager,64250.0,5
 New York,Brooklyn,Analytics_Manager,109772.73,5
 New York,Melville,Analytics_Manager,120000.0,5
 Oregon,Beaverton,Analytics_Manager,95454.47,5
 Pennsylvania,Harrisburg,Analytics_Manager,71625.0,5
 Pennsylvania,Lancaster,Analytics_Manager,70000.0,5
 Pennsylvania,Wayne,Analytics_Manager,119190.13,5
 Georgia,Columbus,Analytics_Manager,54479.23,5
 Florida,Tallahassee,Analytics_Manager,69000.0,5
 California,Sunnyvale,Analytics_Manager,140000.0,5
 Colorado,Boulder,Analytics_Manager,82500.0,5
 California,San Mateo,Analytics_Manager,119355.26,5
 California,Long Beach,Analytics_Manager,96500.0,5
 California,Oakland,Analytics_Manager,121878.29,4
 California,Orange,Analytics_Manager,94676.68,4
 California,Redwood City,Analytics_Manager,139756.54,4
 Connecticut,Norwalk,Analytics_Manager,103500.0,4
 New Jersey,Jersey City,Analytics_Manager,120000.0,4
 Louisiana,New Orleans,Analytics_Manager,94000.0,4
 Tennessee,Memphis,Analytics_Manager,88982.67,4
 Pennsylvania,Scranton,Analytics_Manager,72500.0,4
 Ohio,Akron,Analytics_Manager,95714.29,3
 South Carolina,Columbia,Analytics_Manager,75000.0,3
 Virginia,Charlottesville,Analytics_Manager,93500.0,3
 Indiana,Carmel,Analytics_Manager,68996.19,3
 Michigan,Dearborn,Analytics_Manager,100000.0,3
 Maryland,Salisbury,Analytics_Manager,79075.54,3
 Rhode Island,Providence,Analytics_Manager,105000.0,3
 Ohio,Dublin,Analytics_Manager,90000.0,3
 New York,Tarrytown,Analytics_Manager,117916.22,3
 Florida,Naples,Analytics_Manager,96280.0,3
 California,Walnut Creek,Analytics_Manager,122497.96,3
 California,Agoura Hills,Analytics_Manager,61000.0,3
 California,Gardena,Analytics_Manager,55000.0,3
 California,Menlo Park,Analytics_Manager,119830.86,3
 California,Milpitas,Analytics_Manager,132500.0,2
 California,Morgan Hill,Analytics_Manager,100000.0,2
 California,Huntington Beach,Analytics_Manager,135000.0,2
 California,Laguna Niguel,Analytics_Manager,91250.0,2
 California,Cupertino,Analytics_Manager,156230.03,2
 California,Foster City,Analytics_Manager,99300.0,2
 California,Fresno,Analytics_Manager,85000.0,2
 Arkansas,Little Rock,Analytics_Manager,54500.0,2
 Arizona,Scottsdale,Analytics_Manager,108500.0,2
 California,San Ramon,Analytics_Manager,115100.0,2
 California,Santa Ana,Analytics_Manager,107500.0,2
 California,Pleasanton,Analytics_Manager,126482.21,2
 Connecticut,Bloomfield,Analytics_Manager,121399.18,2
 Florida,Florida,Analytics_Manager,81000.0,2
 Connecticut,Trumbull,Analytics_Manager,70249.11,2
 Connecticut,Westport,Analytics_Manager,169852.94,2
 Georgia,Marietta,Analytics_Manager,86000.0,2
 Illinois,Lombard,Analytics_Manager,90111.82,2
 Illinois,Peoria,Analytics_Manager,119224.32,2
 Illinois,Schaumburg,Analytics_Manager,49600.0,2
 Illinois,Springfield,Analytics_Manager,80792.08,2
 New Jersey,Piscataway,Analytics_Manager,111432.5,2
 New Jersey,Wayne,Analytics_Manager,117000.0,2
 New Mexico,Albuquerque,Analytics_Manager,80000.0,2
 Oklahoma,Oklahoma City,Analytics_Manager,119000.0,2
 North Carolina,Winston-Salem,Analytics_Manager,95000.0,2
 Rhode Island,Woonsocket,Analytics_Manager,97500.0,2
 South Carolina,Bluffton,Analytics_Manager,70000.0,2
 Massachusetts,Raynham,Analytics_Manager,125000.0,2
 New Jersey,New Brunswick,Analytics_Manager,108000.0,2
 Nebraska,Omaha,Analytics_Manager,86896.55,2
 New Jersey,Florham Park,Analytics_Manager,75875.0,2
 Michigan,Troy,Analytics_Manager,102500.0,2
 Mississippi,Jackson,Analytics_Manager,72000.0,2
 Virginia,Chesapeake,Analytics_Manager,76470.59,2
 Virginia,Norfolk,Analytics_Manager,55000.0,2
 Virginia,Tysons Corner,Analytics_Manager,120000.0,2
 Washington,Bothell,Analytics_Manager,63500.0,2
 Washington,Issaquah,Analytics_Manager,92500.0,2
 Wisconsin,Appleton,Analytics_Manager,103500.0,2
 South Dakota,Sioux Falls,Analytics_Manager,87500.0,2
 Utah,Provo,Analytics_Manager,80500.0,2
 California,San Francisco,Android_Software_Developer,129868.97,110
 California,Irvine,Android_Software_Developer,90603.28,37
 New York,New York,Android_Software_Developer,113550.32,33
 California,Los Angeles,Android_Software_Developer,94046.19,23
 Texas,Austin,Android_Software_Developer,90000.0,23
 Ohio,Columbus,Android_Software_Developer,69807.34,21
 Massachusetts,Boston,Android_Software_Developer,124265.85,19
 Georgia,Atlanta,Android_Software_Developer,86762.17,19
 Illinois,Chicago,Android_Software_Developer,90569.01,19
 California,San Diego,Android_Software_Developer,85000.0,17
 Texas,Dallas,Android_Software_Developer,79818.04,16
 Utah,Salt Lake City,Android_Software_Developer,97000.0,15
 Michigan,Detroit,Android_Software_Developer,81127.8,15
 Washington,Seattle,Android_Software_Developer,95989.58,14
 Colorado,Denver,Android_Software_Developer,78250.0,12
 California,San Jose,Android_Software_Developer,100000.0,11
 Missouri,St. Louis,Android_Software_Developer,96755.31,11
 Utah,Lehi,Android_Software_Developer,72174.83,11
 Florida,Orlando,Android_Software_Developer,84467.71,10
 Pennsylvania,Philadelphia,Android_Software_Developer,71215.54,10
 Alabama,Birmingham,Android_Software_Developer,87500.0,10
 Nebraska,Omaha,Android_Software_Developer,88476.73,9
 Florida,Miami,Android_Software_Developer,74865.07,9
 Oregon,Portland,Android_Software_Developer,82500.0,9
 North Carolina,Raleigh,Android_Software_Developer,56500.0,9
 New York,Rochester,Android_Software_Developer,64861.54,9
 Pennsylvania,Pittsburgh,Android_Software_Developer,87421.77,9
 Minnesota,Minneapolis,Android_Software_Developer,66813.09,8
 Indiana,Indianapolis,Android_Software_Developer,72348.19,8
 California,Palo Alto,Android_Software_Developer,133953.22,7
 Arizona,Phoenix,Android_Software_Developer,90000.0,7
 Ohio,Cleveland,Android_Software_Developer,65003.14,7
 Texas,Irving,Android_Software_Developer,75000.0,7
 Tennessee,Knoxville,Android_Software_Developer,75000.0,6
 Tennessee,Nashville,Android_Software_Developer,87615.72,6
 Washington,Bellevue,Android_Software_Developer,97043.98,6
 California,Mountain View,Android_Software_Developer,87500.0,6
 California,Redwood City,Android_Software_Developer,131500.0,6
 District of Columbia,Washington,Android_Software_Developer,100000.0,6
 Florida,Jacksonville,Android_Software_Developer,54000.0,5
 California,San Mateo,Android_Software_Developer,123750.0,5
 California,Santa Monica,Android_Software_Developer,100000.0,5
