name,job_title,median_salary,profile_count
SAS,Analytics_Manager,104451.1,41
Strategic Marketing,Analytics_Manager,84007.3,39
Machine Learning,Analytics_Manager,115453.97,38
Data Visualization,Analytics_Manager,88947.9,24
Strategic Planning,Analytics_Manager,109926.79,24
Alteryx Designer,Analytics_Manager,100617.84,20
Strategy,Analytics_Manager,92942.72,19
SAS (Statistical Analysis System),Analytics_Manager,107000.0,18
Salesforce,Analytics_Manager,74379.24,16
Forecasting,Analytics_Manager,82939.91,14
Financial Modeling,Analytics_Manager,110914.67,13
Data Management,Analytics_Manager,85000.0,12
Product Management,Analytics_Manager,95000.0,12
Microsoft Access,Analytics_Manager,82504.33,11
SQL Server Integration Services (SSIS),Analytics_Manager,86000.0,11
Data Mining,Analytics_Manager,89906.96,11
JavaScript,Analytics_Manager,130000.0,10
Financial Analysis,Analytics_Manager,110372.71,9
Research Analysis,Analytics_Manager,93000.0,9
Microsoft PowerPoint,Analytics_Manager,94498.69,8
Market Analysis,Analytics_Manager,103592.91,7
Looker,Analytics_Manager,126000.0,7
Google Ad Words,Analytics_Manager,75319.6,7
Data Warehouse,Analytics_Manager,82891.57,7
Financial Reporting,Analytics_Manager,95000.0,7
Digital Marketing,Analytics_Manager,104963.73,7
Client Interaction,Analytics_Manager,87500.0,7
Artificial Intelligence (AI),Analytics_Manager,132969.92,7
Social Media Marketing,Analytics_Manager,70348.26,7
SPSS,Analytics_Manager,76065.57,7
Search Engine Marketing (SEM),Analytics_Manager,87000.0,7
Presentations,Analytics_Manager,95000.0,6
Strategic Project Management,Analytics_Manager,92850.0,6
Leadership,Analytics_Manager,116394.85,6
Implementation Analysis,Analytics_Manager,100000.0,6
Market Research,Analytics_Manager,100475.96,6
Microsoft Office,Analytics_Manager,75800.0,6
Healthcare Effectiveness Data and Information Set (HEDIS),Analytics_Manager,87500.0,5
Geographic Information Systems (GIS),Analytics_Manager,104000.0,5
Budgeting,Analytics_Manager,81951.22,5
Email Marketing,Analytics_Manager,93098.99,5
Strategic Sales,Analytics_Manager,109000.0,5
Strategy Development,Analytics_Manager,82000.0,5
Team Leadership,Analytics_Manager,119733.52,5
VBA,Analytics_Manager,83167.41,5
Visualization,Analytics_Manager,95000.0,5
Product Development,Analytics_Manager,71215.54,5
Search Engine Optimization (SEO),Analytics_Manager,81000.0,5
Apache Hadoop,Analytics_Manager,112500.0,4
Android Software Development Kit (SDK),Android_Software_Developer,97261.88,360
Kotlin Programming Language,Android_Software_Developer,100676.74,277
Java,Android_Software_Developer,97620.61,259
Mobile applications development,Android_Software_Developer,98117.25,213
RESTful Web Services,Android_Software_Developer,88538.42,97
Android Operating System Development,Android_Software_Developer,101178.4,39
C++ Programming Language,Android_Software_Developer,93000.0,29
SQLite,Android_Software_Developer,75000.0,24
C# Programming Language,Android_Software_Developer,73986.49,23
.NET,Android_Software_Developer,85635.17,22
eXtensible Markup Language (XML),Android_Software_Developer,78886.08,21
Object Oriented Programming (OOP),Android_Software_Developer,80987.65,15
Agile Software Development,Android_Software_Developer,100000.0,13
ASP.NET Framework,Android_Software_Developer,75701.74,10
